scheme,pdr,LM_dB,LM_integer_dB,paper_LM,paper_LM_integer
ADR,80,5.25,6.0,6.0,6
ADR,85,5.85,6.0,7.0,7
ADR,90,6.55,7.0,8.0,8
ADR,95,7.45,8.0,9.0,9
ADR,99,10.85,11.0,11.0,11
Friis,80,0.0,0.0,0.0,0
Friis,85,0.5,1.0,1.0,1
Friis,90,0.85,1.0,2.0,2
Friis,95,1.85,2.0,3.0,3
Friis,99,3.55,4.0,5.0,5
SPLMSF,80,3.05,4.0,,4
SPLMSF,85,3.8,4.0,,5
SPLMSF,90,4.65,5.0,,6
SPLMSF,95,6.0,6.0,,7
SPLMSF,99,8.6,9.0,,12
SPLMSFT,80,2.7,3.0,,3
SPLMSFT,85,3.3,4.0,,4
SPLMSFT,90,4.1,5.0,,5
SPLMSFT,95,5.25,6.0,,6
SPLMSFT,99,7.6,8.0,,9
MLR,80,2.25,3.0,,3
MLR,85,2.75,3.0,,3
MLR,90,3.45,4.0,,4
MLR,95,4.45,5.0,,5
MLR,99,6.5,7.0,,7
ANN,80,1.2,2.0,,1
ANN,85,1.45,2.0,,2
ANN,90,1.8,2.0,,2
ANN,95,2.45,3.0,3.0,3
ANN,99,3.85,4.0,4.0,4
SVR,80,1.45,2.0,,2
SVR,85,1.7,2.0,,2
SVR,90,2.0,2.0,,3
SVR,95,2.4,3.0,3.0,3
SVR,99,3.75,4.0,4.0,4
RF,80,1.25,2.0,,2
RF,85,1.45,2.0,,2
RF,90,1.7,2.0,,3
RF,95,2.3,3.0,3.0,3
RF,99,3.7,4.0,4.0,4
