scheme,pdr,LM_dB,LM_ADR_dB,pdr_at_LM,mean_sf,mean_tp_dbm,mean_energy_mJ,mean_toa_ms,energy_improvement_pct,toa_improvement_pct,paper_energy_pct,paper_toa_pct
ADR,80,6.0,6.0,85.63018998235609,8.099307732567864,15.482136645352526,31.685773697316616,92.0743581769032,0.0,0.0,,
Friis,80,0.0,6.0,84.13558297766723,8.111248401525902,15.38536086495751,30.155676568253618,92.70536662116298,4.8289719660295924,-0.685324836093246,,
SPLMSF,80,4.0,6.0,86.59224207237783,8.159561438060141,15.844325767772904,33.00886864700151,92.62445021663709,-4.175675059488753,-0.5974432519822453,,
SPLMSFT,80,3.0,6.0,82.91669589333793,8.105717816039238,15.310051189512107,31.468933605145263,90.4976043769863,0.6843452656158856,1.71247873038385,,
MLR,80,3.0,6.0,87.13235095746576,8.089093685420298,15.29478248932372,30.795826527486973,88.9546122493026,2.8086647917485106,3.3882896273972625,,
ANN,80,1.0,6.0,75.73125131520021,7.966800300000539,13.983121187063785,24.857580996488814,78.99966231593942,21.549711129212742,14.200148792613115,,
SVR,80,2.0,6.0,90.63361624751124,8.012048582821192,14.708054546761478,27.01619097554308,82.58077126037996,14.737158594833334,10.310782615810517,,
RF,80,2.0,6.0,93.26887278574242,8.030420918023234,14.701899568978689,27.782516924824883,84.35284051949733,12.318641197712926,8.386175923779412,,
ADR,85,7.0,7.0,92.60736080460576,8.105863499754497,16.223919597046887,34.07491891934257,92.31082939357803,0.0,0.0,,
Friis,85,1.0,7.0,90.07947856021323,8.112289770305342,16.16865072950283,32.56770715788936,92.7843298710969,4.423229193944312,-0.5129414182815416,,
SPLMSF,85,5.0,7.0,91.6399130214263,8.22252917721075,16.39604590361279,35.0243271046849,95.91593423729181,-2.786237547885699,-3.90539752204261,,
SPLMSFT,85,4.0,7.0,89.70609659369892,8.15285998715825,15.930041711560808,33.62577682114428,93.27680385036663,1.318101737120597,-1.0464367649325912,,
MLR,85,3.0,7.0,87.13235095746576,8.089093685420298,15.29478248932372,30.795826527486973,88.9546122493026,9.623184723102089,3.6357783440183478,,
ANN,85,2.0,7.0,92.13631679193668,8.040856188590267,14.654511252067438,28.18854489564575,85.26747491272467,17.274799795210747,7.630041379894002,,
SVR,85,2.0,7.0,90.63361624751124,8.012048582821192,14.708054546761478,27.01619097554308,82.58077126037996,20.715318385666404,10.54053808975415,,
RF,85,2.0,7.0,93.26887278574242,8.030420918023234,14.701899568978689,27.782516924824883,84.35284051949733,18.466374078283764,8.620861632767786,,
ADR,90,8.0,8.0,96.57103699826799,8.161271872791138,16.74401567820038,35.21496647696673,93.78866986451412,0.0,0.0,,
Friis,90,2.0,8.0,96.21438168054259,8.117216038158341,16.901279831478668,34.866508207806376,93.18556362871158,0.989517537630697,0.6430480746488628,,
SPLMSF,90,6.0,8.0,95.12391209336707,8.293606643177416,16.89467201057306,36.85747023237025,99.2563866337889,-4.664220698542583,-5.829826542132846,,
SPLMSFT,90,5.0,8.0,94.2708530051313,8.20503094430026,16.48965555642496,35.29260864200757,95.54092855562689,-0.22048058768316237,-1.8683053013163111,,
MLR,90,4.0,8.0,93.27750589479477,8.142106370694911,15.907465508645206,33.072018308144614,92.22558814674126,6.08533354766578,1.6665997289767198,,
