scheme,pdr,LM_dB,LM_ADR_dB,pdr_at_LM,mean_sf,mean_tp_dbm,mean_energy_mJ,mean_toa_ms,energy_improvement_pct,toa_improvement_pct,paper_energy_pct,paper_toa_pct
ADR,80,5.3,5.3,80.044028856167,8.081642233169484,14.89333162056249,28.52327178055378,90.29043047919151,0.0,0.0,,
Friis,80,0.0,5.3,81.76201755758554,8.111248401525902,15.38536086495751,30.155676568253618,92.70536662116298,-5.72306290897791,-2.6746313304243454,,
SPLMSF,80,3.55,5.3,80.2069787895302,8.132653116282583,15.579339252934009,31.999328770540828,91.04127890877501,-12.186740065201445,-0.8315924795114892,,
SPLMSFT,80,3.05,5.3,80.15895712042648,8.108091921028635,15.3423706205873,31.59154391091105,90.6566469651924,-10.757083387779915,-0.4055983386692124,,
MLR,80,2.7,5.3,80.10931674337543,8.072199770143472,15.104282826734005,30.01398553778416,87.73319307408826,-5.226307026414466,2.8322352563072473,,
ANN,80,1.45,5.3,80.55284272094015,8.00059352624735,14.288986182241823,26.36666377189404,81.79448702605582,7.560871786560068,9.409572429819878,,
SVR,80,1.7,5.3,80.40338202047126,7.987730193759341,14.510950415403197,26.006274442540562,80.66542416083482,8.824364039924843,10.660051422143667,,
RF,80,1.45,5.3,80.86255550819335,7.993212218007586,14.325819655857767,25.998081866163005,81.25011493905563,8.853086468545891,10.012484703148381,,
ADR,85,6.05,6.05,85.93558621508312,8.099307732567864,15.523010100160903,31.84137580722165,92.0743581769032,0.0,0.0,,
Friis,85,0.75,6.05,85.0118435464812,8.111685452671678,15.975169860888418,31.935354415880738,92.7271303437596,-0.29514619351898574,-0.7089619518196469,,
SPLMSF,85,4.5,6.05,85.17101649463397,8.190446385694939,16.12640650137074,34.05108803093909,94.29425788175877,-6.939751087062885,-2.41098580409374,,
SPLMSFT,85,3.9,6.05,85.16723950942358,8.147922927918936,15.871019479026558,33.435754596132945,93.02791615092833,-5.0072547070962035,-1.03563901275645,,
MLR,85,3.4,6.05,85.0021312987973,8.110223219825935,15.545571639856798,31.76213168750676,90.3645108426454,0.24887153179140362,1.8570287842492033,,
ANN,85,1.85,6.05,85.40087302315293,8.031769841312665,14.551645763582211,27.719354533185015,84.51439430646458,12.945487340097145,8.210715795502594,,
SVR,85,2.0,6.05,85.3042901156297,8.012048582821192,14.708054546761478,27.01619097554308,82.58077126037996,15.153820176903958,10.310782615810517,,
RF,85,1.75,6.05,85.13324664252994,8.010931674337543,14.539265056827238,26.962408074123246,82.75278837551865,15.322729026023584,10.123958489588327,,
ADR,90,7.05,7.05,90.05843535689813,8.10734731537287,16.25432405820599,34.14433242890807,92.3603558135896,0.0,0.0,,
Friis,90,1.55,7.05,90.23433495383985,8.115791575164703,16.584347236433015,34.03119864209125,93.1070189119045,0.3313398703939643,-0.8084238001658335,,
SPLMSF,90,5.95,7.05,90.08703253063405,8.289630017320174,16.871428070750813,36.765822924835874,99.0666516162799,-7.677673890347695,-7.261011224583814,,
SPLMSFT,90,5.2,7.05,90.11994625889615,8.2172521893025,16.592879865705846,35.59596762300315,96.03130986926234,-4.2514674935218695,-3.9745993000306328,,
MLR,90,4.55,7.05,90.03199646042529,8.17419995359704,16.218661387445383,34.15424959159118,93.83289486491883,-0.029044828168061986,-1.5943410333988373,,
ANN,90,2.6,7.05,90.01742808889944,8.076138626148609,15.05576148653645,29.972444086876123,88.23110798400717,12.218391883098723,4.470801128047267,,
SVR,90,2.5,7.05,90.13937075426395,8.054458731040883,15.024185537757814,28.742254708316047,86.24321514247328,15.821301329700022,6.623123760439505,,
RF,90,2.45,7.05,90.04602526263537,8.06182924789433,14.995425540270729,29.182718286522725,86.93323675762008,14.531296380492805,5.876026578896094,,
