figure,scheme,pdr,ours,paper,LM,diff
fig12,ANN,80.0,7.44432178590829,-3.684971098265896,,11.129292884174186
fig12,ANN,85.0,9.807495737963253,16.257225433526013,,-6.449729695562761
fig12,ANN,90.0,26.962775971436347,17.557803468208093,,9.404972503228255
fig12,ANN,95.0,34.6659979208276,28.251445086705203,,6.4145528341223965
fig12,ANN,99.0,37.725933428576624,32.73121387283237,,4.994719555744254
fig12,SVR,80.0,-7.652841297376884,-8.38150289017341,,0.7286615927965263
fig12,SVR,85.0,16.34370807181643,13.945086705202312,,2.398621366614117
fig12,SVR,90.0,15.727495734494044,15.534682080924856,,0.19281365356918734
fig12,SVR,95.0,39.411996940963455,25.289017341040463,,14.122979599922992
fig12,SVR,99.0,40.8261573390361,30.202312138728324,,10.623845200307777
fig12,RF,80.0,-14.173836350149232,-12.066473988439306,,-2.107362361709926
fig12,RF,85.0,11.276287098783024,11.560693641618498,,-0.2844065428354732
fig12,RF,90.0,11.017171556040367,13.00578034682081,,-1.988608790780443
fig12,RF,95.0,36.025493380631744,20.014450867052023,,16.01104251357972
fig12,RF,99.0,38.33901454889794,27.60115606936416,,10.737858479533784
fig12,MLR,80.0,-46.04835082677694,-16.690751445086704,,-29.357599381690235
fig12,MLR,85.0,-13.49318164900426,7.9479768786127165,,-21.441158527616977
fig12,MLR,90.0,-9.74204072391208,9.971098265895954,,-19.713138989808034
fig12,MLR,95.0,8.788863584833546,13.945086705202312,,-5.156223120368766
fig12,MLR,99.0,9.814833360165386,17.991329479768787,,-8.176496119603401
fig12,Friis,80.0,-9.510241987769199,-40.39017341040462,,30.879931422635423
fig12,Friis,85.0,7.23375206293471,-11.127167630057803,,18.360919692992514
fig12,Friis,90.0,-2.515049646005268,-10.83815028901734,,8.323100643012072
fig12,Friis,95.0,1.3631950548041953,-5.997109826589595,,7.36030488139379
fig12,Friis,99.0,1.3356455394746265,-2.8179190751445087,,4.153564614619135
fig12,SPLMSF,80.0,-74.61645843919935,-70.15895953757226,,-4.4574989016270905
fig12,SPLMSF,85.0,-56.65585800836253,-54.6242774566474,,-2.0315805517151304
fig12,SPLMSF,90.0,-42.51435863771395,-43.64161849710983,,1.1272598593958847
fig12,SPLMSF,95.0,-12.334026919310253,-13.00578034682081,,0.6717534275105574
fig12,SPLMSF,99.0,-17.942119632159784,-7.225433526011561,,-10.716686106148224
fig12,SPLMSFT,80.0,-43.2405217076405,-55.5635838150289,,12.323062107388402
fig12,SPLMSFT,85.0,-35.753903916716446,-35.910404624277454,,0.1565007075610083
fig12,SPLMSFT,90.0,-29.46224117512578,-34.104046242774565,,4.641805067648786
fig12,SPLMSFT,95.0,-5.716719896791877,-9.104046242774569,,3.387326345982692
fig12,SPLMSFT,99.0,-2.607570193330335,-3.8294797687861273,,1.2219095754557925
fig13,ANN,80.0,10.475962054938742,3.814935064935065,,6.661026990003677
fig13,ANN,85.0,11.462902289699093,14.853896103896105,,-3.390993814197012
fig13,ANN,90.0,31.601266514283076,17.37012987012987,,14.231136644153207
fig13,ANN,95.0,34.390298897227375,19.805194805194805,,14.58510409203257
fig13,ANN,99.0,45.50326999199015,43.26298701298701,,2.2402829790031404
fig13,SVR,80.0,-6.325000686596092,-0.8928571428571428,,-5.432143543738949
fig13,SVR,85.0,19.085216567608697,10.47077922077922,,8.614437346829478
fig13,SVR,90.0,19.279982978480483,13.87987012987013,,5.400112848610354
fig13,SVR,95.0,39.901727310482705,15.584415584415584,,24.31731172606712
fig13,SVR,99.0,49.23895896960421,41.1525974025974,,8.086361567006811
fig13,RF,80.0,-12.72539295379562,-4.058441558441558,,-8.666951395354062
fig13,RF,85.0,14.214430291205792,7.386363636363636,,6.828066654842156
fig13,RF,90.0,14.585642306595485,10.714285714285714,,3.8713565923097715
fig13,RF,95.0,36.40666157330348,11.03896103896104,,25.36770053434244
fig13,RF,99.0,46.76976334269743,38.5551948051948,,8.214568537502629
fig13,MLR,80.0,-53.80835491656012,-14.366883116883116,,-39.441471799677004
fig13,MLR,85.0,-17.05026708487735,-2.191558441558441,,-14.85870864331891
fig13,MLR,90.0,-11.776453979569332,4.626623376623376,,-16.40307735619271
fig13,MLR,95.0,-0.09806249229516495,7.548701298701299,,-7.646763790996464
fig13,MLR,99.0,11.863143604471007,20.0487012987013,,-8.185557694230292
fig13,Friis,80.0,-1.0443090806127495,-30.03246753246753,,28.98815845185478
fig13,Friis,85.0,4.3433103554341015,-16.63961038961039,,20.982920745044492
fig13,Friis,90.0,1.543678513124246,-11.03896103896104,,12.582639552085286
fig13,Friis,95.0,2.682549564467326,-9.577922077922077,,12.260471642389403
fig13,Friis,99.0,5.4464627702599975,-10.308441558441558,,15.754904328701556
fig13,SPLMSF,80.0,-91.61970007495957,-72.32142857142857,,-19.298271503530998
fig13,SPLMSF,85.0,-74.40903541401377,-60.06493506493506,,-14.344100349078715
fig13,SPLMSF,90.0,-56.69869014254079,-55.11363636363636,,-1.585053778904431
fig13,SPLMSF,95.0,-32.000635731462886,-53.40909090909091,,21.40845517762802
fig13,SPLMSF,99.0,-23.378526453306993,-18.99350649350649,,-4.385019959800502
fig13,SPLMSFT,80.0,-47.78789112551758,-50.56818181818182,,2.780290692664238
fig13,SPLMSFT,85.0,-41.98259383753632,-36.12012987012987,,-5.862463967406448
fig13,SPLMSFT,90.0,-34.6231697621085,-35.146103896103895,,0.5229341339953919
fig13,SPLMSFT,95.0,-18.868579827906743,-34.65909090909091,,15.790511081184164
fig13,SPLMSFT,99.0,-6.443990239603674,-10.876623376623376,,4.432633137019702
fig11,ANN,,51.630848256921325,58.65209471766847,0.0,-7.021246460747143
fig11,ANN,,75.73125131520021,80.89455575794375,1.0,-5.163304442743538
fig11,ANN,,92.13631679193668,91.51993523578226,2.0,0.6163815561544226
fig11,ANN,,97.19046257277442,97.47014774337184,3.0,-0.2796851705974177
fig11,ANN,,99.21168922965688,100.0,4.0,-0.7883107703431165
fig11,ANN,,99.79334495205927,100.0,5.0,-0.2066550479407283
fig11,ANN,,99.8661868096885,100.0,6.0,-0.13381319031149985
fig11,ANN,,99.8877695823194,100.0,7.0,-0.11223041768060682
fig11,ANN,,99.89640269137175,100.0,8.0,-0.10359730862825245
fig11,ANN,,99.90989192426605,100.0,9.0,-0.09010807573395141
fig11,ANN,,99.92338115716035,100.0,10.0,-0.07661884283965037
fig11,ANN,,99.93525168210734,100.0,11.0,-0.06474831789266489
fig11,ANN,,99.9535970388436,100.0,12.0,-0.046402961156402966
fig11,ANN,,99.96654670242214,100.0,13.0,-0.033453297577864305
fig11,ANN,,99.97787765805334,100.0,14.0,-0.02212234194665541
fig11,ANN,,99.99028775231609,99.0285367334548,15.0,0.9617510188612926
fig11,SVR,,49.95332725418571,47.17668488160288,0.0,2.7766423725828275
fig11,SVR,,73.71164336626505,69.91499696417729,1.0,3.7966464020877595
fig11,SVR,,90.63361624751124,86.84476826553332,2.0,3.7888479819779235
fig11,SVR,,97.64100295144415,94.42420562639144,3.0,3.2167973250527098
fig11,SVR,,99.32607792460058,97.75349119611418,4.0,1.5725867284863995
fig11,SVR,,99.81438815537437,100.0,5.0,-0.18561184462562608
fig11,SVR,,99.87158250284622,100.0,6.0,-0.1284174971537766
fig11,SVR,,99.8877695823194,100.0,7.0,-0.11223041768060682
fig11,SVR,,99.8953235527402,100.0,8.0,-0.10467644725980563
fig11,SVR,,99.9071940776872,100.0,9.0,-0.09280592231280593
fig11,SVR,,99.92284158784457,100.0,10.0,-0.07715841215542696
fig11,SVR,,99.93579125142311,100.0,11.0,-0.0642087485768883
fig11,SVR,,99.95089919226473,100.0,12.0,-0.0491008077352717
fig11,SVR,,99.96546756379058,100.0,13.0,-0.03453243620941748
fig11,SVR,,99.97787765805334,100.0,14.0,-0.02212234194665541
fig11,SVR,,99.99028775231609,100.0,15.0,-0.009712247683907549
fig11,RF,,52.06466198680213,46.60999797611816,0.0,5.45466401068397
fig11,RF,,75.49761780147087,71.40255009107469,1.0,4.0950677103961795
fig11,RF,,93.26887278574242,88.82817243472984,2.0,4.44070035101258
fig11,RF,,97.97499635790712,95.62841530054648,3.0,2.3465810573606376
fig11,RF,,99.35899165286268,99.0993725966404,4.0,0.2596190562222773
fig11,RF,,99.83327308142641,100.0,5.0,-0.16672691857358757
fig11,RF,,99.872122072162,100.0,6.0,-0.127877927838
fig11,RF,,99.88938829026671,100.0,7.0,-0.11061170973329126
fig11,RF,,99.89640269137175,100.0,8.0,-0.10359730862825245
fig11,RF,,99.9071940776872,100.0,9.0,-0.09280592231280593
fig11,RF,,99.92176244921303,100.0,10.0,-0.07823755078696593
fig11,RF,,99.93902866731774,100.0,11.0,-0.060971332682257184
fig11,RF,,99.95521574679091,100.0,12.0,-0.04478425320908741
fig11,RF,,99.96600713310634,100.0,13.0,-0.033992866893655105
fig11,RF,,99.97625895010603,100.0,14.0,-0.023741049893970967
fig11,RF,,99.99136689094765,100.0,15.0,-0.00863310905235437
