kind,order,window,backoff,update_every,rmse,curve
open,test_order,20,,,1.8497901054197792,"[0.0, 14.0, 32.0, 51.5, 66.3, 77.2, 85.9, 92.8, 96.7, 98.3, 98.8, 99.1, 99.3, 99.4, 99.6, 99.7]"
closed,test_order,10,32.0,10.0,4.035996198413652,"[14.4, 14.8, 22.4, 44.6, 63.6, 75.8, 84.9, 91.3, 94.6, 96.2, 97.0, 97.4, 98.1, 98.7, 99.2, 99.5]"
closed,test_order,10,32.0,20.0,4.473006385378456,"[18.4, 17.6, 24.2, 45.6, 64.9, 76.6, 86.1, 92.4, 96.4, 96.9, 97.7, 98.6, 98.7, 99.2, 99.3, 99.6]"
closed,test_order,10,64.0,20.0,4.484266569046537,"[11.2, 10.8, 19.3, 43.5, 63.7, 74.8, 84.2, 91.3, 95.3, 95.2, 96.0, 96.9, 97.9, 98.3, 98.5, 99.5]"
closed,test_order,10,64.0,10.0,4.996158158623219,"[8.5, 9.2, 18.2, 42.3, 61.5, 73.3, 82.2, 88.8, 92.4, 94.1, 95.0, 96.0, 97.1, 98.0, 98.9, 99.5]"
closed,test_order,10,96.0,20.0,5.005515817612906,"[8.5, 8.6, 17.4, 42.5, 62.1, 73.1, 83.2, 89.5, 93.0, 95.7, 96.3, 96.4, 97.4, 98.2, 98.8, 99.5]"
open,test_order,50,,,5.309329024224698,"[0.0, 7.4, 21.2, 40.9, 57.6, 69.9, 79.5, 87.7, 93.4, 96.1, 97.2, 97.7, 98.1, 98.6, 99.0, 99.3]"
closed,test_order,10,16.0,10.0,6.093060889590515,"[25.5, 25.3, 30.2, 48.0, 65.1, 77.4, 86.7, 93.1, 96.3, 97.5, 98.1, 98.4, 98.7, 99.1, 99.4, 99.6]"
closed,test_order,10,96.0,10.0,6.162362576854592,"[6.4, 7.0, 16.4, 40.9, 59.6, 71.2, 80.2, 86.4, 90.3, 92.4, 93.2, 95.2, 96.5, 97.6, 98.9, 99.4]"
closed,test_order,20,32.0,20.0,6.78690629266476,"[20.6, 18.4, 20.8, 37.8, 57.6, 70.5, 80.4, 87.6, 92.2, 94.9, 95.5, 96.3, 96.9, 97.7, 98.6, 99.2]"
closed,test_order,20,64.0,20.0,7.902725080255549,"[11.5, 11.3, 15.0, 35.0, 55.4, 67.8, 77.3, 84.8, 89.3, 92.4, 93.2, 93.9, 95.3, 96.7, 98.0, 99.1]"
closed,test_order,10,16.0,20.0,8.163248465574268,"[32.6, 29.7, 33.2, 49.4, 66.0, 78.0, 87.5, 94.1, 97.4, 98.5, 98.6, 98.9, 99.1, 99.5, 99.4, 99.6]"
closed,test_order,20,96.0,20.0,9.262241878327426,"[8.4, 8.4, 13.2, 33.8, 53.8, 65.6, 75.1, 82.0, 86.3, 90.0, 90.4, 92.9, 94.5, 95.9, 97.9, 98.9]"
