source,step,energy_ratio,toa_ratio
paper via SVR at LM 2,6->7,1.126926563916591,1.2594458438287153
paper via RF at LM 2,6->7,1.123575810692375,1.2671568627450978
paper via ANN at LM 2,7->8,1.030451866404715,1.0157756354075371
paper via SVR at LM 3,8->9,1.0201923076923078,1.130560928433269
paper via RF at LM 3,8->9,1.0036496350364963,1.0876242095754292
ours ADR continuous both sf<=12,6->7,1.314036770245284,1.2868469163059921
ours ADR continuous both sf<=12,7->8,1.2944259812762364,1.234884067154085
ours ADR continuous both sf<=12,8->9,1.343133727628734,1.3909107415768662
ours ADR continuous both sf<=12,9->11,1.504595825862337,1.2507648912662608
ours ADR continuous down_only sf<=12,6->7,1.0753740543026935,1.0024985681340892
ours ADR continuous down_only sf<=12,7->8,1.032370682694589,1.01339425386207
ours ADR continuous down_only sf<=12,8->9,1.0253643302361135,1.0220585274329634
ours ADR continuous down_only sf<=12,9->11,1.0600653012569727,1.0454880420967227
ours ADR continuous fixed sf<=12,6->7,1.071391792490039,1.0
ours ADR continuous fixed sf<=12,7->8,1.0296346737502993,1.0
ours ADR continuous fixed sf<=12,8->9,1.0213053669705003,1.0
ours ADR continuous fixed sf<=12,9->11,1.0518252448038852,1.0
ours ADR nStep3 both sf<=12,6->7,1.3127121230592251,1.2839253715856613
ours ADR nStep3 both sf<=12,7->8,1.1484860257397642,1.1375247666801662
ours ADR nStep3 both sf<=12,8->9,1.3180677686756763,1.3032534518583796
ours ADR nStep3 both sf<=12,9->11,1.4586256139797882,1.4362885314824092
ours ADR continuous both sf<=10,6->7,1.0754011956548275,1.0025682635356576
ours ADR continuous both sf<=10,7->8,1.0334570879045295,1.0160093943543194
ours ADR continuous both sf<=10,8->9,1.0294422585499974,1.029583483943136
ours ADR continuous both sf<=10,9->11,1.0797308391947795,1.0750236579956802
