kind,step,order,window,backoff,upd,rmse,curve
open,,test_order,20,,,1.8497901054197792,"[0, 14, 32, 51, 66, 77, 86, 93, 97, 98, 99, 99, 99, 99, 100, 100]"
closed,3.0,test_order,10,200.0,10.0,3.051483445023328,"[13, 15, 36, 56, 67, 76, 82, 87, 91, 93, 96, 98, 99, 99, 100, 100]"
closed,3.0,test_order,20,96.0,20.0,3.9025030396631744,"[17, 20, 30, 57, 67, 79, 85, 90, 93, 95, 96, 98, 99, 99, 99, 100]"
closed,,test_order,10,32.0,10.0,4.035996198413652,"[14, 15, 22, 45, 64, 76, 85, 91, 95, 96, 97, 97, 98, 99, 99, 100]"
closed,,test_order,10,32.0,20.0,4.473006385378456,"[18, 18, 24, 46, 65, 77, 86, 92, 96, 97, 98, 99, 99, 99, 99, 100]"
closed,,test_order,10,64.0,20.0,4.484266569046537,"[11, 11, 19, 43, 64, 75, 84, 91, 95, 95, 96, 97, 98, 98, 98, 100]"
closed,3.0,test_order,10,200.0,20.0,4.704573790894471,"[15, 18, 40, 62, 72, 81, 86, 92, 94, 96, 97, 98, 99, 100, 100, 100]"
closed,3.0,test_order,20,200.0,20.0,4.780663946562105,"[13, 15, 27, 52, 60, 70, 77, 82, 88, 91, 95, 97, 98, 99, 99, 100]"
closed,3.0,test_order,20,64.0,20.0,4.9169812823839,"[20, 22, 31, 59, 69, 81, 87, 91, 95, 96, 97, 98, 99, 99, 99, 100]"
closed,,test_order,10,64.0,10.0,4.996158158623219,"[8, 9, 18, 42, 62, 73, 82, 89, 92, 94, 95, 96, 97, 98, 99, 100]"
closed,,test_order,10,96.0,20.0,5.005515817612906,"[9, 9, 17, 43, 62, 73, 83, 90, 93, 96, 96, 96, 97, 98, 99, 100]"
open,,test_order,50,,,5.309329024224698,"[0, 7, 21, 41, 58, 70, 80, 88, 93, 96, 97, 98, 98, 99, 99, 99]"
closed,3.0,test_order,10,96.0,10.0,5.482943151299517,"[16, 20, 40, 62, 74, 83, 89, 92, 95, 96, 98, 98, 99, 99, 100, 100]"
closed,,test_order,10,96.0,10.0,6.162362576854592,"[6, 7, 16, 41, 60, 71, 80, 86, 90, 92, 93, 95, 96, 98, 99, 99]"
closed,3.0,test_order,10,64.0,10.0,6.716938888861314,"[18, 21, 41, 64, 76, 85, 91, 94, 96, 97, 98, 99, 99, 100, 100, 100]"
closed,3.0,test_order,20,32.0,20.0,6.727818824522632,"[24, 26, 35, 61, 71, 83, 89, 93, 96, 97, 98, 98, 99, 99, 99, 100]"
closed,,test_order,20,32.0,20.0,6.78690629266476,"[21, 18, 21, 38, 58, 70, 80, 88, 92, 95, 95, 96, 97, 98, 99, 99]"
closed,,test_order,10,200.0,20.0,7.0253728327352425,"[5, 5, 15, 40, 58, 69, 79, 84, 92, 92, 91, 96, 97, 97, 99, 100]"
closed,3.0,test_order,10,96.0,20.0,7.243686600376172,"[19, 22, 42, 65, 76, 86, 92, 94, 97, 98, 98, 99, 99, 100, 100, 100]"
closed,,test_order,20,64.0,20.0,7.902725080255549,"[12, 11, 15, 35, 55, 68, 77, 85, 89, 92, 93, 94, 95, 97, 98, 99]"
closed,3.0,test_order,20,32.0,10.0,7.920747471554364,"[27, 28, 35, 46, 56, 66, 75, 88, 93, 96, 96, 97, 98, 98, 99, 99]"
