model,pdr_level,LM,energy,toa,pdr_at_LM,pct_sf11
ANN seed 42 (final),80,1,10.475965886059312,7.44432178590829,75.73125131520021,11.484193316894455
ANN seed 42 (final),85,2,11.462906069794105,9.807495737963253,92.13631679193668,16.331144480475686
ANN seed 42 (final),90,2,31.6012694345698,26.962775971436347,92.13631679193668,16.331144480475686
ANN seed 42 (final),95,3,34.39030159007111,34.6659979208276,97.19046257277442,22.45471664517382
ANN seed 42 (final),99,4,45.503271952588356,37.725933428576624,99.21168922965688,27.112818548234802
SVR (final),80,1,18.387643885187746,14.51202345698482,73.71164336626505,9.961528707785446
SVR (final),85,2,19.085220014556928,16.34370807181643,90.63361624751124,14.25542132270022
SVR (final),90,2,37.48983630128829,32.25575246024678,90.63361624751124,14.25542132270022
SVR (final),95,3,39.90172982085919,39.411996940963455,97.64100295144415,20.370899947661776
SVR (final),99,4,49.23896087267555,40.8261573390361,99.32607792460058,25.162815041034246
RF (final),80,1,13.581436902666546,9.854269977278944,75.49761780147087,10.748220770181241
RF (final),85,2,14.214433954119354,11.276287098783024,93.26887278574242,16.159021868744368
RF (final),90,2,33.72694361302872,28.152192370827386,93.26887278574242,16.159021868744368
RF (final),95,3,36.40666419970352,36.025493380631744,97.97499635790712,21.620002913674305
RF (final),99,4,46.76976528830323,38.33901454889794,99.35899165286268,26.896451252610166
"ANN seed 1 (rmse 1.546, bias +0.098, EN3 bias +0.216)",80,1,8.479811041444714,5.556782140917108,78.22406155406755,11.816568015410098
"ANN seed 1 (rmse 1.546, bias +0.098, EN3 bias +0.216)",85,2,9.445981652959796,7.787862227733462,92.77300858454781,16.961361441297555
"ANN seed 1 (rmse 1.546, bias +0.098, EN3 bias +0.216)",90,2,30.04310817544108,25.32729166651351,92.77300858454781,16.961361441297555
"ANN seed 1 (rmse 1.546, bias +0.098, EN3 bias +0.216)",95,3,32.88979753970041,33.08822635602046,97.51474373155348,22.77306254147939
"ANN seed 1 (rmse 1.546, bias +0.098, EN3 bias +0.216)",99,4,44.42378870412804,36.60101471707377,99.2678044384972,27.522351658905862
"ANN seed 7 (rmse 1.542, bias -0.040, EN3 bias +0.057)",80,1,12.154905065768373,8.27174122553399,75.25804902526802,11.359552804951088
"ANN seed 7 (rmse 1.542, bias -0.040, EN3 bias +0.057)",85,2,13.048594238368892,10.45056854389941,91.86167601020865,16.22484932526857
"ANN seed 7 (rmse 1.542, bias -0.040, EN3 bias +0.057)",90,2,32.82628205909344,27.483531581651793,91.86167601020865,16.22484932526857
"ANN seed 7 (rmse 1.542, bias -0.040, EN3 bias +0.057)",95,3,35.473353667841984,35.081568142047516,97.10143363567201,22.304716375389162
"ANN seed 7 (rmse 1.542, bias -0.040, EN3 bias +0.057)",99,4,46.19618861455708,37.95174537336934,99.19442301155217,26.89537211397862
"ANN seed 2024 (rmse 1.564, bias -0.022, EN3 bias +0.143)",80,1,9.47786293202826,5.8651807461143335,74.06506126809582,11.808474475673519
"ANN seed 2024 (rmse 1.564, bias -0.022, EN3 bias +0.143)",85,2,10.855132875608305,9.428769065692546,92.29764801735256,16.13635995748194
"ANN seed 2024 (rmse 1.564, bias -0.022, EN3 bias +0.143)",90,2,31.13173838144109,26.656085908503137,92.29764801735256,16.13635995748194
"ANN seed 2024 (rmse 1.564, bias -0.022, EN3 bias +0.143)",95,3,33.64584597989318,33.42726781209652,97.02697307009545,22.510292284698355
"ANN seed 2024 (rmse 1.564, bias -0.022, EN3 bias +0.143)",99,4,45.322597813399774,37.87851706118263,99.13237254023838,26.62342917882946
