sf_en,en_tp_quant,sf_adr,adr_step,adr_sf,energy_over,fig11,energy,toa,unreach,total
10,,10,,both,all,,22.079459368096327,24.67090281814425,0,
10,,10,,both,delivered,,20.15493431958754,21.555747628005374,0,
10,,10,,down_only,all,,22.284347916383744,24.960916704375183,0,
10,,10,,down_only,delivered,,20.380260504575467,21.891566297347396,0,
10,,10,,up_only,all,,26.018110082356078,46.02385847567864,0,
10,,10,,up_only,delivered,,22.914084630709226,43.948680068447814,0,
10,,10,3.0,both,all,,28.298648776125912,25.031708697303472,0,
10,,10,3.0,both,delivered,,24.047747684986206,21.63878050963475,0,
10,,10,3.0,down_only,all,,28.362744646493976,25.229119777378116,0,
10,,10,3.0,down_only,delivered,,24.126968829961974,21.87150465608921,0,
10,,10,3.0,up_only,all,,28.362744646493976,25.229119777378116,0,
10,,10,3.0,up_only,delivered,,24.126968829961974,21.87150465608921,0,
10,,12,,both,all,,42.383513950556534,47.776328010489294,0,
10,,12,,both,delivered,,40.6292096728816,45.90202102698549,0,
10,,12,,down_only,all,,22.284347916383744,24.960916704375183,0,
10,,12,,down_only,delivered,,20.380260504575467,21.891566297347396,0,
10,,12,,up_only,all,,45.70791395867733,62.08360736398805,0,
10,,12,,up_only,delivered,,43.69622113076013,60.97016864470922,0,
10,,12,3.0,both,all,,55.048882891417634,47.777024292186034,0,
10,,12,3.0,both,delivered,,52.78484890507075,45.769180756371995,0,
10,,12,3.0,down_only,all,,28.362744646493976,25.229119777378116,0,
10,,12,3.0,down_only,delivered,,24.126968829961974,21.87150465608921,0,
10,,12,3.0,up_only,all,,28.362744646493976,25.229119777378116,0,
10,,12,3.0,up_only,delivered,,24.126968829961974,21.87150465608921,0,
10,2.0,10,,both,all,,21.64402817510263,24.67090281814425,0,
10,2.0,10,,both,delivered,,20.00032454956661,21.555747628005374,0,
10,2.0,10,,down_only,all,,21.887100912084094,24.960916704375183,0,
10,2.0,10,,down_only,delivered,,20.264270857887205,21.891566297347396,0,
10,2.0,10,,up_only,all,,25.29435484002474,46.02385847567864,0,
10,2.0,10,,up_only,delivered,,22.280290957227876,43.948680068447814,0,
10,2.0,10,3.0,both,all,,27.566400047782892,25.031708697303472,0,
10,2.0,10,3.0,both,delivered,,23.363728648147582,21.63878050963475,0,
10,2.0,10,3.0,down_only,all,,27.663365052937245,25.229119777378116,0,
10,2.0,10,3.0,down_only,delivered,,23.48228468787774,21.87150465608921,0,
10,2.0,10,3.0,up_only,all,,27.663365052937245,25.229119777378116,0,
10,2.0,10,3.0,up_only,delivered,,23.48228468787774,21.87150465608921,0,
10,2.0,12,,both,all,,41.62408650281832,47.776328010489294,0,
10,2.0,12,,both,delivered,,39.923181602464716,45.90202102698549,0,
10,2.0,12,,down_only,all,,21.887100912084094,24.960916704375183,0,
10,2.0,12,,down_only,delivered,,20.264270857887205,21.891566297347396,0,
10,2.0,12,,up_only,all,,44.93819736374921,62.08360736398805,0,
10,2.0,12,,up_only,delivered,,42.93934874058219,60.97016864470922,0,
10,2.0,12,3.0,both,all,,54.34267771229056,47.777024292186034,0,
10,2.0,12,3.0,both,delivered,,52.057529885969096,45.769180756371995,0,
10,2.0,12,3.0,down_only,all,,27.663365052937245,25.229119777378116,0,
10,2.0,12,3.0,down_only,delivered,,23.48228468787774,21.87150465608921,0,
10,2.0,12,3.0,up_only,all,,27.663365052937245,25.229119777378116,0,
10,2.0,12,3.0,up_only,delivered,,23.48228468787774,21.87150465608921,0,
12,,10,,both,all,,101.14463337253379,103.28967946893287,0,
12,,10,,both,delivered,,111.40373014881705,111.64651313666484,0,
12,,10,,down_only,all,,102.87183105469757,105.92830038446633,0,
12,,10,,down_only,delivered,,112.98489468386958,114.12383306185257,0,
12,,10,,up_only,all,,87.55807469453377,51.9290717932208,0,
12,,10,,up_only,delivered,,95.91593674395023,53.516886722309096,0,
12,,10,3.0,both,all,,85.94328617423717,100.35958879642922,0,
12,,10,3.0,both,delivered,,94.00181600031351,108.75529547484118,0,
12,,10,3.0,down_only,all,,88.32500079302794,102.61047328274866,0,
12,,10,3.0,down_only,delivered,,96.21195510244247,110.86632156528677,0,
12,,10,3.0,up_only,all,,88.32500079302794,102.61047328274866,0,
12,,10,3.0,up_only,delivered,,96.21195510244247,110.86632156528677,0,
12,,12,,both,all,,32.298539322304435,18.864451358913854,0,
12,,12,,both,delivered,,46.584828132962606,26.91416976152246,0,
12,,12,,down_only,all,,102.87183105469757,105.92830038446633,0,
12,,12,,down_only,delivered,,112.98489468386958,114.12383306185257,0,
12,,12,,up_only,all,,23.941097013810474,22.872630864951745,0,
12,,12,,up_only,delivered,,36.17639343752719,18.705614365734576,0,
12,,12,3.0,both,all,,12.033873046563798,19.28221853134127,0,
12,,12,3.0,both,delivered,,18.009575306685942,27.06254317079881,0,
12,,12,3.0,down_only,all,,88.32500079302794,102.61047328274866,0,
12,,12,3.0,down_only,delivered,,96.21195510244247,110.86632156528677,0,
12,,12,3.0,up_only,all,,88.32500079302794,102.61047328274866,0,
12,,12,3.0,up_only,delivered,,96.21195510244247,110.86632156528677,0,
12,2.0,10,,both,all,,111.72180784659383,103.28967946893287,0,
12,2.0,10,,both,delivered,,123.5554630830831,111.64651313666484,0,
12,2.0,10,,down_only,all,,113.44345328574215,105.92830038446633,0,
12,2.0,10,,down_only,delivered,,125.125098224641,114.12383306185257,0,
12,2.0,10,,up_only,all,,96.99424135085987,51.9290717932208,0,
12,2.0,10,,up_only,delivered,,106.80260501517388,53.516886722309096,0,
12,2.0,10,3.0,both,all,,95.04117307418183,100.35958879642922,0,
12,2.0,10,3.0,both,delivered,,104.63076170329609,108.75529547484118,0,
12,2.0,10,3.0,down_only,all,,97.42308887600383,102.61047328274866,0,
12,2.0,10,3.0,down_only,delivered,,106.82691765484657,110.86632156528677,0,
12,2.0,10,3.0,up_only,all,,97.42308887600383,102.61047328274866,0,
12,2.0,10,3.0,up_only,delivered,,106.82691765484657,110.86632156528677,0,
12,2.0,12,,both,all,,40.97070578933809,18.864451358913854,0,
12,2.0,12,,both,delivered,,56.52691181916309,26.91416976152246,0,
12,2.0,12,,down_only,all,,113.44345328574215,105.92830038446633,0,
12,2.0,12,,down_only,delivered,,125.125098224641,114.12383306185257,0,
12,2.0,12,,up_only,all,,31.621344992652254,22.872630864951745,0,
