tp_semantics,sf_max_en,adr_set_point,adr_sf_mode,sf_max_adr,energy_over,energy_rmse,toa_rmse,energy_rmse_ml_friis,toa_rmse_ml_friis,total
text,12,continuous,both,12,all,14.56812767015222,11.351864154962186,14.055100357354053,11.068375636407355,13.059386731515575
corrected,12,nStep3,both,12,all,15.416615592870462,12.549565436388919,16.62036703759748,10.025075718342277,14.056379850099102
corrected,12,nStep3,both,12,delivered,14.771478343866995,15.097566027974146,14.991508677659597,9.303439738932322,14.935412154212061
corrected,12,continuous,both,12,all,18.640219209321355,11.351864154962186,11.46597507715611,11.068375636407355,15.43247536794192
text,12,continuous,both,12,delivered,18.66946999184085,13.666015065088724,13.75394325514752,10.230923382319054,16.360150939638025
text,12,nStep3,both,12,delivered,20.722607690050346,15.097566027974146,23.332282514468265,9.303439738932322,18.12957486325552
text,12,nStep3,both,12,all,23.46793885711093,12.549565436388919,25.491170642733756,10.025075718342277,18.81801991235136
text,12,continuous,up_only,12,delivered,16.537911988525078,22.53715395889068,15.376968672022537,24.341168631501017,19.76645948958669
corrected,12,continuous,both,12,delivered,26.083384736885893,13.666015065088724,15.179491406135847,10.230923382319054,20.821898653720844
corrected,12,continuous,up_only,12,all,14.646187066079683,25.624927028106043,10.481146107677361,26.324911995817306,20.870405850993404
text,12,continuous,up_only,12,all,15.144833140991919,25.624927028106043,16.731952570949865,26.324911995817306,21.047599103748706
corrected,12,continuous,up_only,12,delivered,20.53198355946433,22.53715395889068,12.431712169072153,24.341168631501017,21.55789481202716
corrected,10,continuous,both,10,delivered,23.13611654645231,22.810739050172916,14.612240573145261,15.601287095205508,22.974003839841544
corrected,10,continuous,down_only,12,delivered,23.45644314762454,23.361046477015055,15.194830335416402,16.34045469439552,23.408793408022973
corrected,10,continuous,down_only,10,delivered,23.45644314762454,23.361046477015055,15.194830335416402,16.34045469439552,23.408793408022973
text,10,continuous,both,10,delivered,24.19265261648485,22.810739050172916,14.284530087882489,15.601287095205508,23.51185080589143
text,10,continuous,down_only,12,delivered,24.386476263500196,23.361046477015055,14.711608385126835,16.34045469439552,23.87926628951899
text,10,continuous,down_only,10,delivered,24.386476263500196,23.361046477015055,14.711608385126835,16.34045469439552,23.87926628951899
corrected,10,nStep3,both,10,delivered,25.728832720668475,22.966617122616313,14.5366134071909,15.370005366889078,24.38686465317952
corrected,10,nStep3,down_only,10,delivered,25.835748419957877,23.38368572410344,14.983027404039085,15.96475067978662,24.64023797026923
corrected,10,nStep3,down_only,12,delivered,25.835748419957877,23.38368572410344,14.983027404039085,15.96475067978662,24.64023797026923
corrected,10,nStep3,up_only,12,delivered,25.835748419957877,23.38368572410344,14.983027404039085,15.96475067978662,24.64023797026923
corrected,10,nStep3,up_only,10,delivered,25.835748419957877,23.38368572410344,14.983027404039085,15.96475067978662,24.64023797026923
corrected,10,continuous,both,10,all,24.691049477854037,24.727809910403295,14.608505594024159,16.50871568639439,24.709436530229453
corrected,10,continuous,down_only,12,all,24.993584067301054,25.234486905515116,15.183628835654353,17.19437355619593,25.114324338053162
corrected,10,continuous,down_only,10,all,24.993584067301054,25.234486905515116,15.183628835654353,17.19437355619593,25.114324338053162
text,10,nStep3,both,10,delivered,27.813704834218978,22.966617122616313,16.605323488078785,15.370005366889078,25.50556486986623
text,10,nStep3,down_only,12,delivered,27.790627916408653,23.38368572410344,16.805946003173034,15.96475067978662,25.68185894782454
text,10,nStep3,down_only,10,delivered,27.790627916408653,23.38368572410344,16.805946003173034,15.96475067978662,25.68185894782454
text,10,nStep3,up_only,10,delivered,27.790627916408653,23.38368572410344,16.805946003173034,15.96475067978662,25.68185894782454
text,10,nStep3,up_only,12,delivered,27.790627916408653,23.38368572410344,16.805946003173034,15.96475067978662,25.68185894782454
text,10,continuous,both,10,all,26.82500115576708,24.727809910403295,16.12812263390982,16.50871568639439,25.79772538395531
text,10,continuous,down_only,12,all,27.001813872877907,25.234486905515116,16.502537473422777,17.19437355619593,26.133094744118573
text,10,continuous,down_only,10,all,27.001813872877907,25.234486905515116,16.502537473422777,17.19437355619593,26.133094744118573
corrected,10,nStep3,both,10,all,28.01703676430743,24.93076506147314,15.918945148897208,16.372633934560078,26.51883666003209
corrected,10,nStep3,down_only,12,all,28.112060534757077,25.3110942623398,16.308761744953888,16.915692594162024,26.74826574066903
corrected,10,nStep3,down_only,10,all,28.112060534757077,25.3110942623398,16.308761744953888,16.915692594162024,26.74826574066903
corrected,10,nStep3,up_only,12,all,28.112060534757077,25.3110942623398,16.308761744953888,16.915692594162024,26.74826574066903
corrected,10,nStep3,up_only,10,all,28.112060534757077,25.3110942623398,16.308761744953888,16.915692594162024,26.74826574066903
text,10,nStep3,both,10,all,30.89626646350232,24.93076506147314,19.245791104370362,16.372633934560078,28.072427112151416
text,10,nStep3,up_only,10,all,30.87335480901744,25.3110942623398,19.407252800593458,16.915692594162024,28.229554813355904
text,10,nStep3,up_only,12,all,30.87335480901744,25.3110942623398,19.407252800593458,16.915692594162024,28.229554813355904
text,10,nStep3,down_only,10,all,30.87335480901744,25.3110942623398,19.407252800593458,16.915692594162024,28.229554813355904
text,10,nStep3,down_only,12,all,30.87335480901744,25.3110942623398,19.407252800593458,16.915692594162024,28.229554813355904
corrected,10,continuous,fixed,10,delivered,26.482326410874247,43.06448791824459,15.2239045527197,31.93059496072999,35.74817290291017
corrected,10,continuous,fixed,12,delivered,26.482326410874247,43.06448791824459,15.2239045527197,31.93059496072999,35.74817290291017
corrected,10,continuous,up_only,10,delivered,26.361656085210665,43.25631379309673,14.895876651949697,32.12809848403729,35.81930760443154
text,10,continuous,fixed,12,delivered,28.516484915432102,43.06448791824459,17.30199375695257,31.93059496072999,36.52218525494265
text,10,continuous,fixed,10,delivered,28.516484915432102,43.06448791824459,17.30199375695257,31.93059496072999,36.52218525494265
text,10,continuous,up_only,10,delivered,28.480718509931226,43.25631379309673,17.129512293357728,32.12809848403729,36.62144187364002
corrected,10,nStep3,fixed,12,delivered,28.991873872795082,43.06448791824459,16.731564696788194,31.93059496072999,36.708846824142356
corrected,10,nStep3,fixed,10,delivered,28.991873872795082,43.06448791824459,16.731564696788194,31.93059496072999,36.708846824142356
corrected,10,continuous,fixed,10,all,28.378652439902712,44.53852441798357,16.252551452208227,33.241753875267946,37.34319263022456
corrected,10,continuous,fixed,12,all,28.378652439902712,44.53852441798357,16.252551452208227,33.241753875267946,37.34319263022456
corrected,10,continuous,up_only,10,all,28.266560314373805,44.72474195539111,15.954669577081184,33.43437903460646,37.41190301884184
text,10,nStep3,fixed,12,delivered,31.43211277339612,43.06448791824459,19.760823419782547,31.93059496072999,37.699654063798285
text,10,nStep3,fixed,10,delivered,31.43211277339612,43.06448791824459,19.760823419782547,31.93059496072999,37.699654063798285
text,10,continuous,fixed,10,all,31.178166968332388,44.53852441798357,19.49199341205653,33.241753875267946,38.44319349921733
text,10,continuous,fixed,12,all,31.178166968332388,44.53852441798357,19.49199341205653,33.241753875267946,38.44319349921733
corrected,10,nStep3,fixed,10,all,31.321504101841832,44.53852441798357,18.51385585072029,33.241753875267946,38.501407614092585
corrected,10,nStep3,fixed,12,all,31.321504101841832,44.53852441798357,18.51385585072029,33.241753875267946,38.501407614092585
text,10,continuous,up_only,10,all,31.145612614372872,44.72474195539111,19.34463545304606,33.43437903460646,38.53797950140163
text,10,nStep3,fixed,10,all,34.38306344086832,44.53852441798357,22.3528546358605,33.241753875267946,39.78614839934933
text,10,nStep3,fixed,12,all,34.38306344086832,44.53852441798357,22.3528546358605,33.241753875267946,39.78614839934933
corrected,10,continuous,both,12,delivered,53.68517304697463,57.12517004277618,39.277032508649924,45.87355711624683,55.43186293775316
corrected,10,continuous,both,12,all,54.634463761303614,57.902624227220436,39.97318278391836,46.507756576687115,56.29226644435225
text,10,continuous,both,12,delivered,55.9799080869421,57.12517004277618,42.235680837698986,45.87355711624683,56.55543811977138
