tp_semantics,adr_set_point,reading,energy_rmse,toa_rmse,energy_rmse_ml_friis,toa_rmse_ml_friis
corrected,nStep3,grid,14.148185375923328,22.34282095647016,12.0258436240263,13.017955080863645
text,continuous,paper_integer,14.56812767015222,11.351864154962186,14.055100357354053,11.068375636407355
corrected,nStep3,paper_integer,15.416615592870462,12.549565436388919,16.62036703759748,10.025075718342277
corrected,nStep3,ours_integer,17.10414135761615,24.67704067363665,14.777182381768283,16.833077280056408
corrected,continuous,paper_integer,18.640219209321355,11.351864154962186,11.46597507715611,11.068375636407355
text,nStep3,grid,18.963081232107278,22.34282095647016,21.026549955535003,13.017955080863645
text,nStep3,ours_integer,20.04769590819203,24.67704067363665,21.46291729701385,16.833077280056408
text,continuous,grid,22.45852704786606,21.901837148748328,12.31509192562164,12.816237387151016
text,nStep3,paper_integer,23.46793885711093,12.549565436388919,25.491170642733756,10.025075718342277
text,continuous,ours_integer,23.85312149016301,22.506434869671462,15.452753606734825,15.807346006764314
corrected,continuous,grid,34.78642954170951,21.901837148748328,20.918241245949094,12.816237387151016
corrected,continuous,ours_integer,34.868300639558356,22.506434869671462,22.893363615605576,15.807346006764314
