features,test_rmse,test_r2
distance only (SPLMSF form),2.5549663221375813,0.8431155005700393
"distance + T, RH, PM",2.5268076069326026,0.8465541233249311
distance + BP,2.5470602936889852,0.8440850812622932
distance + SNR,2.4963491074250306,0.8502316003485398
distance + node,2.523561683026692,0.8469487511551788
distance + node + SNR,1.670468711748808,0.9329371850119432
distance + BP + SNR,1.959669261834761,0.907708483135235
all but BP,2.45802078079922,0.8547950134671934
all but SNR,2.5211603040886628,0.847239414719623
all (eq. 6),1.9352188884784436,0.9099973828595516
all + node,1.667908876116694,0.9331427118091015
"distance + node + SNR + T, RH, PM",1.6681159166656343,0.9331260516772023
