kind,quantity,paper,clean_csv,mode_A_coupled,mode_B_rssi_only,mode_C_mixture,err_clean_csv,err_mode_A_coupled,err_mode_B_rssi_only,err_mode_C_mixture
calibrated,MLR training-residual RMSE (dB),1.951,1.8450386994078856,1.8567053247062075,1.934769993350342,1.94452596657488,5.431127657207304,4.8331458377136105,0.8318814274555676,0.3318315440861146
calibrated,Student-t nu (MLE),11.43,314000000000.0,433.3922816211818,11.347589513135423,11.15327622296306,,,,
PREDICTED,MLR test RMSE (dB),1.951,1.8462064864795595,1.8581663956755463,1.9351116460040887,1.9352188884784465,5.371271836004127,4.758257525599885,0.814369758888333,0.8088729636880365
PREDICTED,ANN test RMSE (dB),1.613,1.4379206807948528,1.4309216932306228,1.537239474293892,1.536509270302055,10.854266534727042,11.288177729037644,4.696870781531806,4.742140712829814
PREDICTED,SVR test RMSE (dB),1.626,1.4535052849825396,1.4855732087737268,1.566841928932749,1.5797758126548531,10.608531058884395,8.636334023756035,3.6382577532134563,2.8428159498860257
PREDICTED,RF test RMSE (dB),1.566,1.4112080131168732,1.424043576635779,1.5249911474857247,1.5254495078929085,9.884545777977452,9.06490570652752,2.6187006714096634,2.589431169035224
PREDICTED,"conventional ADR, LM for 99 % PDR (dB)",11.0,9.0,12.35,8.55,10.7,18.181818181818183,12.27272727272727,22.272727272727266,2.7272727272727337
PREDICTED,"ANN, LM for 99 % PDR (dB)",4.0,4.0,3.75,3.65,3.85,0.0,6.25,8.750000000000002,3.749999999999998
PREDICTED,ANN energy improvement vs ADR at 99 % PDR (%),43.5,37.73388088454838,33.84241574580898,36.18708009613393,32.51485764104409,13.255446242417523,22.201343113082807,16.81131012383004,25.253200825186006
PREDICTED,"SVR, LM for 99 % PDR (dB)",4.0,4.0,3.8,3.85,3.9,0.0,5.000000000000004,3.749999999999998,2.500000000000002
PREDICTED,SVR energy improvement vs ADR at 99 % PDR (%),40.6,40.06883477400605,36.78653943096089,37.271500323029535,35.90253364475547,1.3082887339752514,9.392760022263813,8.19827506642972,11.570114175479135
PREDICTED,"RF, LM for 99 % PDR (dB)",4.0,4.0,3.7,3.7,3.75,0.0,7.499999999999996,7.499999999999996,6.25
PREDICTED,RF energy improvement vs ADR at 99 % PDR (%),38.7,37.18369309615043,35.12650335352868,36.472391473670434,34.640787950553936,3.9181056947017434,9.23384146375018,5.756094383280538,10.488920024408442
