sf_max,min_tp,max_tp,line28,variant,adr_order,adr_window,mae_adr_lm,mae_friis_lm,mae_ml_lm,mae_energy_pp,mae_toa_pp,n_unreachable,score
12,2.0,20.0,repaired,corrected,blocks,20,0.95,0.95,0.3333333333333333,3.2383835330048143,9.39285246638566,0,3.496456933272381
12,2.0,20.0,repaired,corrected,test_order,20,0.95,0.95,0.3333333333333333,3.2455131716594536,9.386869648413418,0,3.4965716153406206
12,5.0,20.0,repaired,corrected,test_order,20,1.0,0.95,0.5,2.567995126737754,9.928908335794722,0,3.6996903462532478
12,5.0,20.0,repaired,corrected,blocks,20,1.0,0.95,0.5,2.562601739536644,9.939080594557737,0,3.700168233409438
11,5.0,20.0,repaired,corrected,blocks,50,1.0,0.95,0.5,10.276334181841843,2.291720411173267,0,3.706805459301511
11,2.0,20.0,repaired,corrected,test_order,50,0.95,0.95,0.3333333333333333,11.613077405368083,3.290864616116219,0,3.7237275354817636
11,2.0,20.0,repaired,corrected,blocks,50,0.95,0.95,0.3333333333333333,11.622799784126627,3.307002255012639,0,3.72631353724726
11,5.0,20.0,repaired,corrected,test_order,50,0.95,0.95,0.5,11.108615408715773,3.0644453268195213,0,3.8173060735535294
11,7.0,20.0,repaired,corrected,test_order,50,0.85,0.95,1.125,6.595749615632326,2.343826882455654,0,3.818957649808798
11,7.0,20.0,repaired,corrected,blocks,50,0.85,0.95,1.125,6.6018107600006575,2.341978393748923,0,3.8193789153749576
12,2.0,20.0,repaired,corrected,blocks,50,0.95,0.95,0.3333333333333333,7.14944758649126,12.84528381843466,0,4.232806473825925
12,2.0,20.0,repaired,corrected,test_order,50,0.95,0.95,0.3333333333333333,7.153417847319794,12.85248290515441,0,4.233923408580754
11,10.0,20.0,repaired,corrected,blocks,50,0.85,0.95,1.7916666666666667,2.6398662730349662,6.33019326587943,0,4.4886726205581065
11,10.0,20.0,repaired,corrected,test_order,50,0.85,0.95,1.7916666666666667,2.6439518081853137,6.3694990061371355,0,4.493011748098912
12,5.0,20.0,repaired,corrected,blocks,50,0.95,0.95,0.5,8.498287664544646,13.721694225837334,0,4.621998189038198
12,5.0,20.0,repaired,corrected,test_order,50,0.95,0.95,0.5,8.503053241326612,13.733619932631866,0,4.623667317395848
11,10.0,20.0,repaired,corrected,test_order,20,1.25,0.95,1.7916666666666667,3.330884583747185,3.038186657833279,0,4.6285737908247135
11,10.0,20.0,repaired,corrected,blocks,20,1.25,0.95,1.7916666666666667,3.33524807049357,3.039392769989135,0,4.629130750714937
11,7.0,20.0,repaired,corrected,test_order,20,1.2,0.95,1.125,12.106473438871175,6.749031176276239,0,5.160550461514741
11,7.0,20.0,repaired,corrected,blocks,20,1.2,0.95,1.125,12.108187406638995,6.7487243198674705,0,5.160691172650647
12,7.0,20.0,repaired,corrected,blocks,20,1.2,0.95,1.125,3.8508194818079553,16.47114196413865,0,5.307196144594661
12,7.0,20.0,repaired,corrected,test_order,20,1.2,0.95,1.125,3.85741278414352,16.505037127134212,0,5.311244991127773
