sf_max,min_tp,max_tp,line28,variant,adr_order,adr_window,ADR_LM80,ADR_LM85,ADR_LM90,ADR_LM95,ADR_LM99,Friis_LM80,Friis_LM85,Friis_LM90,Friis_LM95,Friis_LM99,ANN_LM95,ANN_LM99,SVR_LM95,SVR_LM99,RF_LM95,RF_LM99,E_ANN,T_ANN,E_SVR,T_SVR,E_RF,T_RF
12,2.0,20.0,repaired,corrected,blocks,20,5.25,6.0,6.75,7.5,10.75,0.0,0.0,0.75,1.75,3.75,2.5,4.0,2.5,4.0,2.25,3.75,36.86932671266107,37.26400998490517,40.95158384452017,40.45951166934707,41.432893467155345,40.555035744904735
12,2.0,20.0,repaired,corrected,test_order,20,5.25,6.0,6.75,7.5,10.75,0.0,0.0,0.75,1.75,3.75,2.5,4.0,2.5,4.0,2.25,3.75,36.894109687754785,37.257813610885734,40.974764263018855,40.45363091198742,41.455884939714295,40.549164422367106
12,5.0,20.0,repaired,corrected,test_order,20,5.25,6.0,6.75,7.5,10.5,0.0,0.0,0.75,1.75,3.75,2.25,3.75,2.25,3.75,2.25,3.75,37.348373915689415,38.36296722700488,41.75380247448415,41.73797558141289,39.09855682141853,39.785782198966395
12,5.0,20.0,repaired,corrected,blocks,20,5.25,6.0,6.75,7.5,10.5,0.0,0.0,0.75,1.75,3.75,2.25,3.75,2.25,3.75,2.25,3.75,37.33043081932097,38.37341045247136,41.73712106969684,41.747846975764034,39.08111496823407,39.79598435543782
11,5.0,20.0,repaired,corrected,blocks,50,6.25,6.75,7.25,8.5,14.25,0.0,0.0,0.75,1.75,3.75,2.25,3.75,2.25,3.75,2.25,3.75,29.435370822537237,26.897041357020402,32.12485278142514,28.936514718149123,30.410773850512097,27.391282691310675
11,2.0,20.0,repaired,corrected,test_order,50,6.25,6.75,7.5,8.5,14.25,0.0,0.0,0.75,1.75,3.75,2.5,4.0,2.5,4.0,2.25,3.75,27.465951375204064,25.116869872367232,30.074008534744106,27.70326239662321,30.42080787394758,27.407273882660903
11,2.0,20.0,repaired,corrected,blocks,50,6.25,6.75,7.5,8.5,14.25,0.0,0.0,0.75,1.75,3.75,2.5,4.0,2.5,4.0,2.25,3.75,27.45597392688589,25.100374136129975,30.06438983870866,27.687336407521435,30.411236882025573,27.391282691310675
11,5.0,20.0,repaired,corrected,test_order,50,6.25,6.75,7.25,8.5,14.0,0.0,0.0,0.75,1.75,3.75,2.25,3.75,2.25,3.75,2.25,3.75,28.588427145063175,26.115284666409025,31.3101892954197,28.176567978529917,29.575537333369805,26.614811374602496
11,7.0,20.0,repaired,corrected,test_order,50,6.0,6.75,7.25,8.25,13.5,0.0,0.0,0.75,1.75,3.75,1.75,3.0,1.75,3.0,1.75,3.0,32.925010506576776,27.920099594915687,36.13557073510117,30.681554708532754,33.95216991142508,28.97002553374989
11,7.0,20.0,repaired,corrected,blocks,50,6.0,6.75,7.25,8.25,13.5,0.0,0.0,0.75,1.75,3.75,1.75,3.0,1.75,3.0,1.75,3.0,32.918818970872756,27.91424452951463,36.129675558717295,30.67592395670873,33.94607319040798,28.964255754052665
12,2.0,20.0,repaired,corrected,blocks,50,6.25,6.75,7.5,8.5,14.25,0.0,0.0,0.75,1.75,3.75,2.5,4.0,2.5,4.0,2.25,3.75,45.59936968998682,40.83967550456039,49.117110741945794,43.853048156077016,49.53186232754117,43.94312779466658
12,2.0,20.0,repaired,corrected,test_order,50,6.25,6.75,7.5,8.5,14.25,0.0,0.0,0.75,1.75,3.75,2.5,4.0,2.5,4.0,2.25,3.75,45.60352986449913,40.847131561910096,49.1210019045628,43.860124433912375,49.53572177289745,43.95019271964076
11,10.0,20.0,repaired,corrected,blocks,50,6.0,6.5,7.25,8.25,13.25,0.0,0.0,0.75,1.75,3.75,1.25,2.0,1.5,2.25,1.25,2.0,41.40817942410622,35.60557581318973,42.52666386433316,37.192110791818585,42.601114378877966,36.292893192629975
11,10.0,20.0,repaired,corrected,test_order,50,6.0,6.5,7.25,8.25,13.25,0.0,0.0,0.75,1.75,3.75,1.25,2.0,1.5,2.25,1.25,2.0,41.42093940471029,35.64534970975987,42.53918026418443,37.23090474829388,42.613614565081804,36.332242560357656
12,5.0,20.0,repaired,corrected,blocks,50,6.25,6.75,7.25,8.5,14.0,0.0,0.0,0.75,1.75,3.75,2.25,3.75,2.25,3.75,2.25,3.75,47.719406757266434,42.25678462966597,51.39558298663244,45.418582424232135,49.17987324973507,43.5897156236139
12,5.0,20.0,repaired,corrected,test_order,50,6.25,6.75,7.25,8.5,14.0,0.0,0.0,0.75,1.75,3.75,2.25,3.75,2.25,3.75,2.25,3.75,47.724333693549966,42.26902801118073,51.400163479141604,45.430155404966065,49.18466255128827,43.6016763817488
11,10.0,20.0,repaired,corrected,test_order,20,5.25,5.75,6.5,7.5,9.75,0.0,0.0,0.75,1.75,3.75,1.25,2.0,1.5,2.25,1.25,2.0,36.770997411192795,31.391917772314095,37.978003011488916,33.082267886403066,38.05834582607674,32.12420985941086
11,10.0,20.0,repaired,corrected,blocks,20,5.25,5.75,6.5,7.5,9.75,0.0,0.0,0.75,1.75,3.75,1.25,2.0,1.5,2.25,1.25,2.0,36.76657578070803,31.395668553842405,37.97366578740848,33.085926257040725,38.054014220402784,32.12792060676908
11,7.0,20.0,repaired,corrected,test_order,20,5.25,5.75,6.5,7.5,10.0,0.0,0.0,0.75,1.75,3.75,1.75,3.0,1.75,3.0,1.75,3.0,27.295736357484177,21.90787194775127,30.77574312390641,24.89966168568368,28.409100201995894,23.045372837736334
