data,scheme,LM95,LM99,rmse
released,"conventional ADR, chronological prev-20",3.3000001907348633,4.399999618530273,
released,MLR with snr,3.0526308839777827,4.480764185110737,1.8439845232382885
released,ANN with snr,2.37550025242429,3.6437954443654417,1.422930735849168
released,MLR with snr_prev,3.3217378883753557,4.640464199150661,1.99254466947781
released,ANN with snr_prev,2.5041807357382657,3.606919865563158,1.6971425359972891
released,MLR with snr_prev20,3.1714935664274946,4.458251641926621,1.9011095349954117
reconstructed,"conventional ADR, chronological prev-20",3.5,10.713486369570312,
reconstructed,MLR with snr,3.092706932661939,4.609739612622054,1.9395313474691607
reconstructed,ANN with snr,2.273187187015248,3.551810280778199,1.543810679467569
reconstructed,MLR with snr_prev,3.3629684552113277,4.862178449956149,2.138858888974791
reconstructed,ANN with snr_prev,2.9660667196622517,4.184042029311366,1.8318109277871666
reconstructed,MLR with snr_prev20,3.20780593741223,4.638347358497784,2.0396513543447155
