quantity,value
pdr99_residual_ANN,99.21168922965688
pdr99_threshold_sf12_ANN,99.18902731839447
pdr99_residual_SVR,99.32607792460058
pdr99_threshold_sf12_SVR,99.306113859917
pdr99_residual_RF,99.35899165286268
pdr99_threshold_sf12_RF,99.33686931091603
pdr99_threshold_sf10_ANN,93.52570778004996
pdr99_threshold_sf10_SVR,93.64171518294097
pdr99_threshold_sf10_RF,93.67301020325576
threshold_ceiling_sf10,94.3059250106565
threshold_ceiling_sf12,99.97733808873757
threshold_at_logged_sf,94.28973793118332
share_received_below_limit_released,4.376446720227914
mlr_rmse_released,1.8462064864795595
mlr_kurtosis_released,-0.060258783470089394
mlr_t_nu_released,26254857620.2154
mlr_rmse_reconstructed,1.9352188884784465
mlr_kurtosis_reconstructed,3.413399537396174
mlr_t_nu_reconstructed,11.804906031003695
adr_lm99_released_shuffled,8.5
adr_lm95_released_shuffled,7.000000238418579
adr_lm99_released_chronological,4.800000190734863
adr_lm95_released_chronological,3.5
adr_lm99_released_full,4.399999618530273
adr_lm95_released_full,3.3000001907348633
adr_lm99_reconstructed_shuffled,10.840157298565444
adr_lm95_reconstructed_shuffled,7.40000057220459
adr_lm99_reconstructed_chronological,10.836983866093815
adr_lm95_reconstructed_chronological,3.8000001907348633
adr_lm99_reconstructed_full,10.741897199683123
adr_lm95_reconstructed_full,3.5
lono_rmse_EN1,3.9200069675627667
lono_bias_EN1,3.1464615986953666
lono_rmse_EN2,2.4025562864989642
lono_bias_EN2,-1.4508668420901445
lono_rmse_EN3,11.722747733474003
lono_bias_EN3,-11.649472228502773
lono_rmse_EN4,5.277102408364317
lono_bias_EN4,5.094839531361729
fig11_rmse_ANN,2.208903120075857
fig11_max_ANN,7.021246460747143
fig11_max_lm_ANN,0.0
fig11_rmse_SVR,1.7570895984276844
fig11_max_SVR,3.79664640208776
fig11_max_lm_SVR,1.0
fig11_rmse_RF,2.1199347306374654
fig11_max_RF,5.45466401068397
fig11_max_lm_RF,0.0
fig11_rmse_MLR,1.0671761048886448
fig11_max_MLR,1.9083290668208408
fig11_max_lm_MLR,3.0
fig11_rmse_Friis,7.1026997392660975
fig11_max_Friis,19.80874183166885
fig11_max_lm_Friis,3.0
fig11_rmse_SPLMSF,1.4218746234428679
fig11_max_SPLMSF,2.0895769084548306
fig11_max_lm_SPLMSF,3.0
fig11_rmse_SPLMSFT,0.9709348779741417
fig11_max_SPLMSFT,1.861034467643094
fig11_max_lm_SPLMSFT,15.0
fig11_rmse_ADR,1.3752488677578811
fig11_max_ADR,3.779188369875925
fig11_max_lm_ADR,7.0
achieved_pdr_ANN_80,75.73125131520021
op_lm_ANN_80,1.0
achieved_pdr_ADR_80,85.63018998235609
op_lm_ADR_80,6.0
achieved_pdr_ANN_85,92.13631679193668
op_lm_ANN_85,2.0
achieved_pdr_ADR_85,92.60736080460576
op_lm_ADR_85,7.0
achieved_pdr_ANN_90,92.13631679193668
op_lm_ANN_90,2.0
achieved_pdr_ADR_90,96.571036998268
op_lm_ADR_90,8.0
achieved_pdr_ANN_95,97.19046257277442
op_lm_ANN_95,3.0
achieved_pdr_ADR_95,98.20485288642604
op_lm_ADR_95,9.0
achieved_pdr_ANN_99,99.21168922965688
op_lm_ANN_99,4.0
achieved_pdr_ADR_99,99.0271565236628
op_lm_ADR_99,11.0
