cap,scheme,tp_quant,payload_bytes,mean_energy_mJ,mean_toa_ms,energy_savings_pct
10,ADR,0,1,39.14215903794728,103.8077948773289,0.0
10,ADR,0,14,56.56021990649572,152.5396925965694,0.0
10,ADR,2,1,40.301724048109556,103.8077948773289,0.0
10,ADR,2,14,58.48004211359952,152.5396925965694,0.0
10,ANN,0,1,33.33841738073507,92.86413018728454,14.827341669082777
10,ANN,0,14,47.81448410386686,136.3973215779165,15.462697664696394
10,ANN,2,1,34.952353265016136,92.86413018728454,13.273305074263554
10,ANN,2,14,50.283898044209856,136.3973215779165,14.015284143380688
10,SVR,0,1,32.70856817516035,91.78919760647051,16.436474177496784
10,SVR,0,14,47.01684872454992,135.08336928663542,16.87293860901305
10,SVR,2,1,34.56626278606106,91.78919760647051,14.2313049813995
10,SVR,2,14,49.832907024337786,135.08336928663542,14.786472062493337
10,RF,0,1,33.09104829513187,92.38797899996223,15.459317757482463
10,RF,0,14,47.50103933167927,135.81381595290637,16.016876507539948
10,RF,2,1,34.87403465211589,92.38797899996223,13.467635750556099
10,RF,2,14,50.21883647514978,135.81381595290637,14.126538456319949
12,ADR,0,1,124.11450673367955,330.1627868539332,0.0
12,ADR,0,14,175.26825313108876,468.7612335417871,0.0
12,ADR,2,1,133.65154208293066,330.1627868539332,0.0
12,ADR,2,14,188.8885711661659,468.7612335417871,0.0
12,ANN,0,1,67.63834763542654,205.605793679485,45.50326999199016
12,ANN,0,14,99.35729879268995,304.7802983818317,43.311297386881904
12,ANN,2,1,78.13076667821389,205.605793679485,41.541440180515224
12,ANN,2,14,114.88009409494,304.7802983818317,39.18102435436413
12,SVR,0,1,63.00181568775643,195.37000801800002,49.238958969604205
12,SVR,0,14,92.71238006116432,290.0952983872274,47.10258223899695
12,SVR,2,1,73.87759375049376,195.37000801800002,44.72372514441115
12,SVR,2,14,108.8404392868677,290.0952983872274,42.37849404286063
12,RF,0,1,66.06644566038139,203.58162796695683,46.7697633426974
12,RF,0,14,97.15492158892543,302.0763685690083,44.56787247359615
12,RF,2,1,76.88627009713755,203.58162796695683,42.47259036530256
12,RF,2,14,113.20447715724714,302.0763685690083,40.06811716646382
