LM,pdr,mean_tp_dbm,mean_sf,mean_toa_s,mean_energy_j,mean_toa_delivered_s,mean_energy_delivered_j,frac_tp_clamped_high,frac_tp_clamped_low,cap,rule,scheme
4,99.21168922965688,15.95430395639743,8.14286716343015,0.09286413018728454,0.03333841738073507,0.09338784128089107,0.03358430366979165,0.271128185482348,0.0005071951568258216,10,residual,ANN
4,99.32607792460058,16.01018307668496,8.130003830942142,0.09178919760647052,0.03270856817516035,0.0922226454879294,0.0329113140091448,0.2516281504103425,0.0003615114415673409,10,residual,SVR
4,99.35899165286268,16.00552563788089,8.136538015356143,0.09238797899996223,0.03309104829513187,0.09280892166499223,0.033288620521625095,0.26896451252610165,0.0005125908499835431,10,residual,RF
11,99.02715652366281,17.965688325831984,8.43231912287612,0.1038077948773289,0.03914215903794728,0.10429493004958316,0.03938639587460005,0.38139996654670244,0.000755397042081011,10,residual,ADR
4,93.52570778004996,15.95430395639743,8.14286716343015,0.09286413018728454,0.03333841738073507,0.08648992654643636,0.03038778044764054,0.271128185482348,0.0005071951568258216,10,threshold,ANN
4,93.64171518294097,16.01018307668496,8.130003830942142,0.09178919760647052,0.03270856817516035,0.08526450623166944,0.029678806944896507,0.2516281504103425,0.0003615114415673409,10,threshold,SVR
4,93.67301020325576,16.00552563788089,8.136538015356143,0.09238797899996223,0.03309104829513187,0.08588567087732638,0.03007868802993237,0.26896451252610165,0.0005125908499835431,10,threshold,RF
11,93.44423281336837,17.965688325831984,8.43231912287612,0.1038077948773289,0.03914215903794728,0.09816778930957425,0.03659172477647449,0.38139996654670244,0.000755397042081011,10,threshold,ADR
4,99.21168922965688,15.656496141136683,8.550954228334943,0.205605793679485,0.06763834763542655,0.2070219463974939,0.06815584686288018,0.03398747120048777,0.0005071951568258216,12,residual,ANN
4,99.32607792460058,15.706932518921487,8.506196953591644,0.19537000801800003,0.06300181568775642,0.19648826753004062,0.06340285065087777,0.024625943571840957,0.0003615114415673409,12,residual,SVR
4,99.35899165286268,15.688871609751807,8.539801330577932,0.20358162796695684,0.06606644566038139,0.20471880624507857,0.06647630054735894,0.030280630001133096,0.0005125908499835431,12,residual,RF
11,99.02715652366281,17.81278213103064,9.162755688409511,0.3301627868539332,0.12411450673367955,0.3327338804991009,0.12514146181173258,0.19498955933373982,0.000755397042081011,12,residual,ADR
4,99.18902731839447,15.656496141136683,8.550954228334943,0.205605793679485,0.06763834763542655,0.20688020923679484,0.06809267595187597,0.03398747120048777,0.0005071951568258216,12,threshold,ANN
4,99.306113859917,15.706932518921487,8.506196953591644,0.19537000801800003,0.06300181568775642,0.19636143341646425,0.06334631017956444,0.024625943571840957,0.0003615114415673409,12,threshold,SVR
4,99.33686931091603,15.688871609751807,8.539801330577932,0.20358162796695684,0.06606644566038139,0.20457578307912921,0.06641248743916865,0.030280630001133096,0.0005125908499835431,12,threshold,RF
11,99.02607738503126,17.81278213103064,9.162755688409511,0.3301627868539332,0.12411450673367955,0.3327284899524868,0.1251390697250075,0.19498955933373982,0.000755397042081011,12,threshold,ADR
